iteration,best_fitness,coverage
438.0,2.0,0.36
439.0,2.0,0.36
440.0,2.0,0.36
441.0,2.0,0.36
442.0,2.0,0.36
443.0,2.0,0.36
444.0,2.0,0.36
445.0,2.0,0.36
446.0,2.0,0.36
447.0,2.0,0.36
448.0,-0.0,0.36
449.0,-0.0,0.36
450.0,-0.0,0.36
451.0,-0.0,0.36
452.0,-0.0,0.36
453.0,-0.0,0.36
454.0,-0.0,0.36
455.0,-0.0,0.36
456.0,-0.0,0.36250000000000004
457.0,-0.0,0.36750000000000005
458.0,-0.0,0.36750000000000005
459.0,-0.0,0.36750000000000005
460.0,-0.0,0.36750000000000005
461.0,-0.0,0.36750000000000005
462.0,-0.0,0.36750000000000005
463.0,-0.0,0.36750000000000005
464.0,-0.0,0.36750000000000005
465.0,-0.0,0.36750000000000005
466.0,-0.0,0.36750000000000005
467.0,-0.0,0.36750000000000005
468.0,-0.0,0.36750000000000005
469.0,-0.0,0.36750000000000005
470.0,-0.0,0.36750000000000005
471.0,-0.0,0.36750000000000005
472.0,-0.0,0.36750000000000005
473.0,-0.0,0.36750000000000005
474.0,-0.0,0.36750000000000005
475.0,-0.0,0.36750000000000005
476.0,-0.0,0.36750000000000005
477.0,-0.0,0.36750000000000005
478.0,-0.0,0.36750000000000005
479.0,-0.0,0.36750000000000005
480.0,-0.0,0.36750000000000005
481.0,-0.0,0.36750000000000005
482.0,-0.0,0.36750000000000005
483.0,-0.0,0.36750000000000005
484.0,-0.0,0.36750000000000005
485.0,-0.0,0.36750000000000005
486.0,-0.0,0.36750000000000005
487.0,-0.0,0.37
488.0,-0.0,0.37
489.0,-0.0,0.37
490.0,-0.0,0.37
491.0,-0.0,0.37
492.0,-0.0,0.37
493.0,-0.0,0.37
494.0,-0.0,0.37
495.0,-0.0,0.37
496.0,-0.0,0.37250000000000005
497.0,-0.0,0.37250000000000005
498.0,-0.0,0.37250000000000005
499.0,-0.0,0.37250000000000005
500.0,-0.0,0.37250000000000005
501.0,-0.0,0.37250000000000005
502.0,-0.0,0.37250000000000005
503.0,-0.0,0.37250000000000005
504.0,-0.0,0.375
505.0,-0.0,0.375
506.0,-0.0,0.375
507.0,-0.0,0.375
508.0,-0.0,0.375
509.0,-0.0,0.375
510.0,-0.0,0.37749999999999995
511.0,-0.0,0.37749999999999995
512.0,-0.0,0.37749999999999995
513.0,-0.0,0.37749999999999995
514.0,-0.0,0.37749999999999995
515.0,-0.0,0.37749999999999995
516.0,-0.0,0.37749999999999995
517.0,-0.0,0.37749999999999995
518.0,-0.0,0.37749999999999995
519.0,-0.0,0.37749999999999995
520.0,-0.0,0.37749999999999995
521.0,-0.0,0.37749999999999995
522.0,-0.0,0.37749999999999995
523.0,-0.0,0.37749999999999995
524.0,-0.0,0.37749999999999995
525.0,-0.0,0.37749999999999995
526.0,-0.0,0.37749999999999995
527.0,-0.0,0.37749999999999995
528.0,-0.0,0.37749999999999995
529.0,-0.0,0.37749999999999995
530.0,-0.0,0.37749999999999995
531.0,-0.0,0.37749999999999995
532.0,-0.0,0.37749999999999995
533.0,-0.0,0.37749999999999995
534.0,-0.0,0.37749999999999995
535.0,-0.0,0.38
536.0,-0.0,0.38
537.0,-0.0,0.38
538.0,-0.0,0.38249999999999995
539.0,-0.0,0.38249999999999995
540.0,-0.0,0.38249999999999995
541.0,-0.0,0.38249999999999995
542.0,-0.0,0.38249999999999995
543.0,-0.0,0.38249999999999995
544.0,-0.0,0.38249999999999995
545.0,-0.0,0.38249999999999995
546.0,-0.0,0.38249999999999995
547.0,-0.0,0.38249999999999995
548.0,-0.0,0.385
549.0,-0.0,0.385
550.0,-0.0,0.385
551.0,-0.0,0.385
552.0,-0.0,0.385
553.0,-0.0,0.385
554.0,-0.0,0.385
555.0,-0.0,0.385
556.0,-0.0,0.38749999999999996
557.0,-0.0,0.38749999999999996
558.0,-0.0,0.38749999999999996
559.0,-0.0,0.38749999999999996
560.0,-0.0,0.38749999999999996
561.0,-0.0,0.38749999999999996
562.0,-0.0,0.38749999999999996
563.0,-0.0,0.38749999999999996
564.0,-0.0,0.38749999999999996
565.0,-0.0,0.38749999999999996
566.0,-0.0,0.38749999999999996
567.0,-0.0,0.38749999999999996
568.0,-0.0,0.38749999999999996
569.0,-0.0,0.38749999999999996
570.0,-0.0,0.38749999999999996
571.0,-0.0,0.38749999999999996
572.0,-0.0,0.38749999999999996
573.0,-0.0,0.38749999999999996
574.0,-0.0,0.38749999999999996
575.0,-0.0,0.38749999999999996
576.0,-0.0,0.38749999999999996
577.0,-0.0,0.38749999999999996
578.0,-0.0,0.38749999999999996
579.0,-0.0,0.38749999999999996
580.0,-0.0,0.38749999999999996
581.0,-0.0,0.38749999999999996
582.0,-0.0,0.38749999999999996
583.0,-0.0,0.38749999999999996
584.0,-0.0,0.38749999999999996
585.0,-0.0,0.38749999999999996
586.0,-0.0,0.38749999999999996
587.0,-0.0,0.38749999999999996
588.0,-0.0,0.38749999999999996
589.0,-0.0,0.38749999999999996
590.0,-0.0,0.38749999999999996
591.0,-0.0,0.38749999999999996
592.0,-0.0,0.38749999999999996
593.0,-0.0,0.38749999999999996
594.0,-0.0,0.38749999999999996
595.0,-0.0,0.38749999999999996
596.0,-0.0,0.38749999999999996
597.0,-0.0,0.38749999999999996
598.0,-0.0,0.38749999999999996
599.0,-0.0,0.38749999999999996
600.0,-0.0,0.38749999999999996
601.0,-0.0,0.38749999999999996
602.0,-0.0,0.38749999999999996
603.0,-0.0,0.38749999999999996
604.0,-0.0,0.38749999999999996
605.0,-0.0,0.38749999999999996
606.0,-0.0,0.38749999999999996
607.0,-0.0,0.38749999999999996
608.0,-0.0,0.38749999999999996
609.0,-0.0,0.38749999999999996
610.0,-0.0,0.38749999999999996
611.0,-0.0,0.38749999999999996
612.0,-0.0,0.38749999999999996
613.0,-0.0,0.38749999999999996
614.0,-0.0,0.38749999999999996
615.0,-0.0,0.38749999999999996
616.0,-0.0,0.38749999999999996
617.0,-0.0,0.38749999999999996
618.0,-0.0,0.38749999999999996
619.0,-0.0,0.38749999999999996
620.0,-0.0,0.38749999999999996
621.0,-0.0,0.38749999999999996
622.0,-0.0,0.38749999999999996
623.0,-0.0,0.38749999999999996
624.0,-0.0,0.38749999999999996
625.0,-0.0,0.38749999999999996
626.0,-0.0,0.38749999999999996
627.0,-0.0,0.38749999999999996
628.0,-0.0,0.38749999999999996
629.0,-0.0,0.38749999999999996
630.0,-0.0,0.38749999999999996
631.0,-0.0,0.38749999999999996
632.0,-0.0,0.38749999999999996
633.0,-0.0,0.38749999999999996
634.0,-0.0,0.38749999999999996
635.0,-0.0,0.38749999999999996
636.0,-0.0,0.38749999999999996
637.0,-0.0,0.38749999999999996
638.0,-0.0,0.38749999999999996
639.0,-0.0,0.38749999999999996
640.0,-0.0,0.38749999999999996
641.0,-0.0,0.38749999999999996
642.0,-0.0,0.38749999999999996
643.0,-0.0,0.38749999999999996
644.0,-0.0,0.38749999999999996
645.0,-0.0,0.38749999999999996
646.0,-0.0,0.38749999999999996
647.0,-0.0,0.38749999999999996
648.0,-0.0,0.38749999999999996
649.0,-0.0,0.38749999999999996
650.0,-0.0,0.38749999999999996
651.0,-0.0,0.38749999999999996
652.0,-0.0,0.38749999999999996
653.0,-0.0,0.38749999999999996
654.0,-0.0,0.38749999999999996
655.0,-0.0,0.38749999999999996
656.0,-0.0,0.38749999999999996
657.0,-0.0,0.38749999999999996
658.0,-0.0,0.38749999999999996
659.0,-0.0,0.38749999999999996
660.0,-0.0,0.38749999999999996
661.0,-0.0,0.38749999999999996
662.0,-0.0,0.38749999999999996
663.0,-0.0,0.38749999999999996
664.0,-0.0,0.38749999999999996
665.0,-0.0,0.38749999999999996
666.0,-0.0,0.38749999999999996
667.0,-0.0,0.38749999999999996
668.0,-0.0,0.38749999999999996
669.0,-0.0,0.38749999999999996
670.0,-0.0,0.39
671.0,-0.0,0.39
672.0,-0.0,0.39
673.0,-0.0,0.39
674.0,-0.0,0.39
675.0,-0.0,0.39
676.0,-0.0,0.39
677.0,-0.0,0.39
678.0,-0.0,0.39
679.0,-0.0,0.39249999999999996
680.0,-0.0,0.39249999999999996
681.0,-0.0,0.39249999999999996
682.0,-0.0,0.39249999999999996
683.0,-0.0,0.39249999999999996
684.0,-0.0,0.39249999999999996
685.0,-0.0,0.39249999999999996
686.0,-0.0,0.39249999999999996
687.0,-0.0,0.39249999999999996
688.0,-0.0,0.39249999999999996
689.0,-0.0,0.39249999999999996
690.0,-0.0,0.39249999999999996
691.0,-0.0,0.39249999999999996
692.0,-0.0,0.39249999999999996
693.0,-0.0,0.39249999999999996
694.0,-0.0,0.39249999999999996
695.0,-0.0,0.39249999999999996
696.0,-0.0,0.39249999999999996
697.0,-0.0,0.39249999999999996
698.0,-0.0,0.39249999999999996
699.0,-0.0,0.39249999999999996
700.0,-0.0,0.39249999999999996
701.0,-0.0,0.39249999999999996
702.0,-0.0,0.39249999999999996
703.0,-0.0,0.39249999999999996
704.0,-0.0,0.39249999999999996
705.0,-0.0,0.39249999999999996
706.0,-0.0,0.39249999999999996
707.0,-0.0,0.39249999999999996
708.0,-0.0,0.39249999999999996
709.0,-0.0,0.39249999999999996
710.0,-0.0,0.39249999999999996
711.0,-0.0,0.39249999999999996
712.0,-0.0,0.39249999999999996
713.0,-0.0,0.39249999999999996
714.0,-0.0,0.39249999999999996
715.0,-0.0,0.39249999999999996
716.0,-0.0,0.39249999999999996
717.0,-0.0,0.39249999999999996
718.0,-0.0,0.39249999999999996
719.0,-0.0,0.39249999999999996
720.0,-0.0,0.39249999999999996
721.0,-0.0,0.39249999999999996
722.0,-0.0,0.39249999999999996
723.0,-0.0,0.39249999999999996
724.0,-0.0,0.39249999999999996
725.0,-0.0,0.39249999999999996
726.0,-0.0,0.39249999999999996
727.0,-0.0,0.39249999999999996
728.0,-0.0,0.39249999999999996
729.0,-0.0,0.39249999999999996
730.0,-0.0,0.39249999999999996
731.0,-0.0,0.39249999999999996
732.0,-0.0,0.39249999999999996
733.0,-0.0,0.39249999999999996
734.0,-0.0,0.39249999999999996
735.0,-0.0,0.39249999999999996
736.0,-0.0,0.39249999999999996
737.0,-0.0,0.39249999999999996
738.0,-0.0,0.39249999999999996
739.0,-0.0,0.39249999999999996
740.0,-0.0,0.39249999999999996
741.0,-0.0,0.39249999999999996
742.0,-0.0,0.39249999999999996
743.0,-0.0,0.39249999999999996
744.0,-0.0,0.39249999999999996
745.0,-0.0,0.39249999999999996
746.0,-0.0,0.39249999999999996
747.0,-0.0,0.39249999999999996
748.0,-0.0,0.39249999999999996
749.0,-0.0,0.395
750.0,-0.0,0.395
751.0,-0.0,0.395
752.0,-0.0,0.395
753.0,-0.0,0.395
754.0,-0.0,0.395
755.0,-0.0,0.395
756.0,-0.0,0.395
757.0,-0.0,0.395
758.0,-0.0,0.395
759.0,-0.0,0.395
760.0,-0.0,0.395
761.0,-0.0,0.395
762.0,-0.0,0.395
763.0,-0.0,0.395
764.0,-0.0,0.395
765.0,-0.0,0.395
766.0,-0.0,0.395
767.0,-0.0,0.395
768.0,-0.0,0.395
769.0,-0.0,0.395
770.0,-0.0,0.395
771.0,-0.0,0.395
772.0,-0.0,0.395
773.0,-0.0,0.395
774.0,-0.0,0.395
775.0,-0.0,0.39749999999999996
776.0,-0.0,0.4
777.0,-0.0,0.4
778.0,-0.0,0.4
779.0,-0.0,0.4
780.0,-0.0,0.4
781.0,-0.0,0.4
782.0,-0.0,0.4
783.0,-0.0,0.4
784.0,-0.0,0.4
785.0,-0.0,0.4
786.0,-0.0,0.4
787.0,-0.0,0.4
788.0,-0.0,0.4
789.0,-0.0,0.4
790.0,-0.0,0.4
791.0,-0.0,0.4
792.0,-0.0,0.4
793.0,-0.0,0.4
794.0,-0.0,0.4
795.0,-0.0,0.4
796.0,-0.0,0.4
797.0,-0.0,0.4
798.0,-0.0,0.4
799.0,-0.0,0.4
800.0,-0.0,0.4
801.0,-0.0,0.4
802.0,-0.0,0.4
803.0,-0.0,0.4
804.0,-0.0,0.4
805.0,-0.0,0.4
806.0,-0.0,0.4
807.0,-0.0,0.4
808.0,-0.0,0.4
809.0,-0.0,0.4
810.0,-0.0,0.4
811.0,-0.0,0.4
812.0,-0.0,0.4
813.0,-0.0,0.4
814.0,-0.0,0.4
815.0,-0.0,0.4
816.0,-0.0,0.4
817.0,-0.0,0.4
818.0,-0.0,0.4
819.0,-0.0,0.4
820.0,-0.0,0.4
821.0,-0.0,0.4
822.0,-0.0,0.4
823.0,-0.0,0.4
824.0,-0.0,0.4
825.0,-0.0,0.4
826.0,-0.0,0.4
827.0,-0.0,0.4
828.0,-0.0,0.4
829.0,-0.0,0.4
830.0,-0.0,0.4
831.0,-0.0,0.4
832.0,-0.0,0.4
833.0,-0.0,0.4
834.0,-0.0,0.4
835.0,-0.0,0.4
836.0,-0.0,0.4
837.0,-0.0,0.4
838.0,-0.0,0.4
839.0,-0.0,0.4
840.0,-0.0,0.4
841.0,-0.0,0.4
842.0,-0.0,0.4
843.0,-0.0,0.4
844.0,-0.0,0.4
845.0,-0.0,0.4
846.0,-0.0,0.4
847.0,-0.0,0.4
848.0,-0.0,0.4
849.0,-0.0,0.4
850.0,-0.0,0.4
851.0,-0.0,0.4
852.0,-0.0,0.4
853.0,-0.0,0.4
854.0,-0.0,0.4
855.0,-0.0,0.4
856.0,-0.0,0.4
857.0,-0.0,0.4
858.0,-0.0,0.4
859.0,-0.0,0.4
860.0,-0.0,0.4
861.0,-0.0,0.4
862.0,-0.0,0.4
863.0,-0.0,0.4
864.0,-0.0,0.4
865.0,-0.0,0.4
866.0,-0.0,0.4
867.0,-0.0,0.4
868.0,-0.0,0.4
869.0,-0.0,0.4
870.0,-0.0,0.4
871.0,-0.0,0.4
872.0,-0.0,0.4
873.0,-0.0,0.4
874.0,-0.0,0.4
875.0,-0.0,0.4
876.0,-0.0,0.4
